1DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME (Year),DIM_SEX,VALUE_NUMERIC (%),VALUE_NUMERIC_LOWER (%),VALUE_NUMERIC_UPPER (%)
288,Ghana,1932,Total,36.48,27.50,48.75
288,Ghana,1933,Total,35.80,28.09,45.82
76,Brazil,1934,Total,26.65,19.59,36.42
288,Ghana,1934,Total,35.16,28.60,43.36
76,Brazil,1935,Total,26.37,20.22,34.36
288,Ghana,1935,Total,34.55,28.87,41.40
76,Brazil,1936,Total,26.10,20.84,32.62
288,Ghana,1936,Total,33.86,28.93,39.77
76,Brazil,1937,Total,25.84,21.25,31.32
288,Ghana,1937,Total,33.26,28.81,38.42
324,Guinea,1937,Total,35.21,28.17,43.94
76,Brazil,1938,Total,25.55,21.48,30.16
288,Ghana,1938,Total,32.63,28.48,37.35
324,Guinea,1938,Total,35.29,28.90,43.08
76,Brazil,1939,Total,25.29,21.64,29.40
288,Ghana,1939,Total,31.97,27.96,36.42
324,Guinea,1939,Total,35.35,29.50,42.30
76,Brazil,1940,Total,25.01,21.60,28.89
242,Fiji,1940,Total,14.65,11.00,20.07
288,Ghana,1940,Total,31.31,27.43,35.81
324,Guinea,1940,Total,35.41,30.07,41.67
478,Mauritania,1940,Total,34.12,25.70,45.18
882,Samoa,1940,Total,19.38,14.44,26.01
76,Brazil,1941,Total,24.71,21.35,28.61
242,Fiji,1941,Total,14.52,11.36,19.09
288,Ghana,1941,Total,30.67,26.82,35.14
324,Guinea,1941,Total,35.48,30.57,41.15
478,Mauritania,1941,Total,33.80,26.63,42.96
882,Samoa,1941,Total,18.99,14.81,24.40
76,Brazil,1942,Total,24.41,21.00,28.36
242,Fiji,1942,Total,14.36,11.65,18.22
288,Ghana,1942,Total,30.04,26.20,34.51
324,Guinea,1942,Total,35.59,30.98,40.80
368,Iraq,1942,Total,56.68,45.14,72.26
478,Mauritania,1942,Total,33.60,27.38,41.33
882,Samoa,1942,Total,18.57,15.10,23.01
76,Brazil,1943,Total,24.08,20.61,28.12
242,Fiji,1943,Total,14.21,11.89,17.50
288,Ghana,1943,Total,29.38,25.61,33.86
324,Guinea,1943,Total,35.64,31.31,40.51
368,Iraq,1943,Total,53.52,43.51,66.76
478,Mauritania,1943,Total,33.33,27.91,39.92
570,Niue,1943,Total,14.78,10.56,20.88
690,Seychelles,1943,Total,11.96,8.77,16.47
882,Samoa,1943,Total,18.20,15.23,21.87
854,Burkina Faso,1944,Total,39.96,31.04,51.16
76,Brazil,1944,Total,23.74,20.15,27.94
178,Congo,1944,Total,31.90,22.90,44.53
242,Fiji,1944,Total,14.05,12.05,16.85
266,Gabon,1944,Total,35.37,27.89,44.26
288,Ghana,1944,Total,28.77,25.06,33.14
324,Guinea,1944,Total,35.71,31.61,40.35
368,Iraq,1944,Total,50.58,41.87,61.86
478,Mauritania,1944,Total,33.07,28.20,38.92
570,Niue,1944,Total,14.59,10.85,19.84
686,Senegal,1944,Total,37.51,28.17,50.73
690,Seychelles,1944,Total,11.92,9.16,15.72
768,Togo,1944,Total,29.26,23.91,35.08
882,Samoa,1944,Total,17.83,15.29,20.90
204,Benin,1945,Total,37.38,31.11,44.00
854,Burkina Faso,1945,Total,39.65,31.79,49.21
76,Brazil,1945,Total,23.42,19.73,27.75
96,Brunei Darussalam,1945,Total,30.47,24.86,37.59
178,Congo,1945,Total,31.13,23.76,41.30
132,Cabo Verde,1945,Total,23.26,17.57,30.42
242,Fiji,1945,Total,13.91,12.14,16.30
266,Gabon,1945,Total,34.39,27.84,42.10
288,Ghana,1945,Total,28.18,24.58,32.48
324,Guinea,1945,Total,35.75,31.80,40.24
368,Iraq,1945,Total,47.76,40.16,57.40
400,Jordan,1945,Total,35.84,29.71,43.75
478,Mauritania,1945,Total,32.80,28.30,38.14
570,Niue,1945,Total,14.42,11.14,18.76
686,Senegal,1945,Total,36.88,28.90,47.61
690,Seychelles,1945,Total,11.89,9.44,15.11
768,Togo,1945,Total,29.06,24.29,34.30
882,Samoa,1945,Total,17.45,15.28,20.07
204,Benin,1946,Total,36.93,31.20,43.08
854,Burkina Faso,1946,Total,39.42,32.42,47.77
76,Brazil,1946,Total,23.06,19.32,27.56
96,Brunei Darussalam,1946,Total,28.35,24.09,33.54
178,Congo,1946,Total,30.49,24.34,38.55
132,Cabo Verde,1946,Total,22.76,17.94,28.58
242,Fiji,1946,Total,13.74,12.11,15.82
266,Gabon,1946,Total,33.45,27.68,40.24
288,Ghana,1946,Total,27.62,24.11,31.78
324,Guinea,1946,Total,35.80,31.95,40.18
368,Iraq,1946,Total,45.10,38.36,53.39
400,Jordan,1946,Total,33.97,28.75,40.71
296,Kiribati,1946,Total,22.19,16.44,30.38
478,Mauritania,1946,Total,32.49,28.20,37.50
570,Niue,1946,Total,14.21,11.36,17.89
686,Senegal,1946,Total,36.29,29.50,44.86
690,Seychelles,1946,Total,11.86,9.73,14.64
768,Togo,1946,Total,28.88,24.63,33.58
882,Samoa,1946,Total,17.07,15.16,19.34
204,Benin,1947,Total,36.48,31.31,42.20
854,Burkina Faso,1947,Total,39.16,32.86,46.40
76,Brazil,1947,Total,22.68,18.88,27.29
96,Brunei Darussalam,1947,Total,26.38,23.29,30.05
178,Congo,1947,Total,29.88,24.70,36.47
132,Cabo Verde,1947,Total,22.27,18.13,27.06
242,Fiji,1947,Total,13.53,12.05,15.42
266,Gabon,1947,Total,32.55,27.43,38.60
288,Ghana,1947,Total,27.05,23.64,31.09
324,Guinea,1947,Total,35.82,31.99,40.23
368,Iraq,1947,Total,42.51,36.47,49.77
400,Jordan,1947,Total,32.21,27.81,37.95
296,Kiribati,1947,Total,22.14,17.08,29.04
478,Mauritania,1947,Total,32.18,27.96,37.04
570,Niue,1947,Total,13.99,11.49,17.12
686,Senegal,1947,Total,35.65,29.87,42.68
690,Seychelles,1947,Total,11.82,9.94,14.23
768,Togo,1947,Total,28.72,24.90,32.89
882,Samoa,1947,Total,16.70,14.94,18.73
204,Benin,1948,Total,36.02,31.35,41.32
854,Burkina Faso,1948,Total,38.82,33.18,45.32
76,Brazil,1948,Total,22.29,18.50,27.00
96,Brunei Darussalam,1948,Total,24.52,22.34,26.99
178,Congo,1948,Total,29.28,24.74,34.93
132,Cabo Verde,1948,Total,21.81,18.20,25.85
242,Fiji,1948,Total,13.27,11.92,15.00
266,Gabon,1948,Total,31.68,27.12,37.11
288,Ghana,1948,Total,26.46,23.17,30.41
324,Guinea,1948,Total,35.86,32.06,40.22
368,Iraq,1948,Total,40.05,34.62,46.55
400,Jordan,1948,Total,30.55,26.76,35.41
296,Kiribati,1948,Total,22.10,17.65,27.84
478,Mauritania,1948,Total,31.81,27.71,36.65
570,Niue,1948,Total,13.78,11.57,16.45
598,Papua New Guinea,1948,Total,28.10,22.54,35.04
686,Senegal,1948,Total,35.03,30.10,40.96
690,Seychelles,1948,Total,11.78,10.04,13.88
768,Togo,1948,Total,28.54,25.07,32.30
882,Samoa,1948,Total,16.33,14.65,18.20
28,Antigua and Barbuda,1949,Total,12.13,10.88,13.59
36,Australia,1949,Total,3.22,3.04,3.39
40,Austria,1949,Total,9.51,8.90,10.19
56,Belgium,1949,Total,5.46,5.10,5.80
204,Benin,1949,Total,35.58,31.30,40.54
854,Burkina Faso,1949,Total,38.56,33.31,44.36
100,Bulgaria,1949,Total,12.97,11.99,13.97
76,Brazil,1949,Total,21.94,18.14,26.55
52,Barbados,1949,Total,16.43,15.49,17.39
96,Brunei Darussalam,1949,Total,22.78,21.31,24.39
124,Canada,1949,Total,5.11,4.90,5.35
178,Congo,1949,Total,28.63,24.49,33.64
132,Cabo Verde,1949,Total,21.35,18.12,24.96
188,Costa Rica,1949,Total,12.25,11.61,12.91
724,Spain,1949,Total,11.68,11.02,12.47
246,Finland,1949,Total,4.50,4.27,4.75
242,Fiji,1949,Total,12.98,11.70,14.51
250,France,1949,Total,6.11,5.78,6.45
266,Gabon,1949,Total,30.81,26.67,35.72
826,United Kingdom of Great Britain and Northern Ireland,1949,Total,3.81,3.61,4.01
288,Ghana,1949,Total,25.87,22.67,29.70
324,Guinea,1949,Total,35.93,31.98,40.31
308,Grenada,1949,Total,14.96,13.75,16.32
328,Guyana,1949,Total,16.06,12.74,20.18
348,Hungary,1949,Total,13.15,12.07,14.43
372,Ireland,1949,Total,5.64,5.29,6.01
368,Iraq,1949,Total,37.72,32.77,43.67
352,Iceland,1949,Total,3.09,2.73,3.51
400,Jordan,1949,Total,28.97,25.71,33.17
392,Japan,1949,Total,10.10,9.62,10.64
296,Kiribati,1949,Total,21.99,18.16,26.84
662,Saint Lucia,1949,Total,20.52,19.58,21.52
442,Luxembourg,1949,Total,6.50,5.88,7.15
470,Malta,1949,Total,10.15,9.49,10.84
478,Mauritania,1949,Total,31.41,27.33,36.25
570,Niue,1949,Total,13.56,11.48,15.96
528,Netherlands (Kingdom of the),1949,Total,3.34,3.19,3.49
554,New Zealand,1949,Total,3.63,3.45,3.80
598,Papua New Guinea,1949,Total,27.30,22.32,33.33
616,Poland,1949,Total,12.19,11.21,12.99
620,Portugal,1949,Total,13.48,12.46,14.45
686,Senegal,1949,Total,34.42,30.07,39.50
702,Singapore,1949,Total,15.55,14.26,16.91
748,Eswatini,1949,Total,24.22,18.20,31.85
690,Seychelles,1949,Total,11.72,10.07,13.61
768,Togo,1949,Total,28.33,25.21,31.83
764,Thailand,1949,Total,21.44,17.79,25.53
858,Uruguay,1949,Total,7.02,6.66,7.39
840,United States of America,1949,Total,3.87,3.71,4.03
882,Samoa,1949,Total,15.95,14.33,17.72
